iter	Passed	Remaining
0	0	23
1	0	22
2	0	20
3	0	21
4	1	21
5	1	20
6	1	20
7	1	19
8	1	19
9	2	19
10	2	18
11	2	18
12	2	18
13	3	22
14	3	22
15	4	21
16	4	21
17	4	20
18	4	20
19	5	22
20	5	21
21	6	21
22	6	20
23	6	20
24	6	20
25	6	19
26	7	19
27	7	19
28	7	18
29	7	18
30	8	17
31	8	17
32	8	17
33	8	16
34	8	16
35	9	16
36	9	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	13
43	10	13
44	10	13
45	10	12
46	11	12
47	11	12
48	11	12
49	11	11
50	12	11
51	12	11
52	12	11
53	12	10
54	12	10
55	12	10
56	13	9
57	13	9
58	13	9
59	13	9
60	14	9
61	14	8
62	14	8
63	14	8
64	15	8
65	16	8
66	16	8
67	16	7
68	16	7
69	17	7
70	17	7
71	17	6
72	17	6
73	18	6
74	18	6
75	18	5
76	18	5
77	19	5
78	19	5
79	19	4
80	19	4
81	20	4
82	20	4
83	20	3
84	20	3
85	21	3
86	21	3
87	21	2
88	21	2
89	22	2
90	23	2
91	23	2
92	24	1
93	24	1
94	24	1
95	24	1
96	25	0
97	25	0
98	25	0
99	25	0
