iter	Passed	Remaining
0	59	59535
1	60	29960
2	60	20029
3	60	15077
4	60	12111
5	61	10137
6	61	8712
7	61	7641
8	61	6810
9	62	6153
10	62	5610
11	62	5156
12	62	4771
13	63	4441
14	63	4158
15	63	3913
16	63	3694
17	64	3500
18	64	3325
19	64	3167
20	64	3027
21	65	2900
22	65	2781
23	65	2672
24	65	2571
25	66	2480
26	66	2393
27	66	2316
28	66	2241
29	67	2192
30	68	2129
31	68	2068
32	68	2010
33	68	1956
34	69	1906
35	69	1857
36	69	1812
37	69	1771
38	70	1731
39	70	1693
40	70	1657
41	71	1623
42	71	1589
43	71	1558
44	72	1528
45	72	1498
46	72	1470
47	72	1445
48	73	1419
49	73	1394
50	73	1371
51	73	1347
52	74	1325
53	74	1304
54	74	1284
55	74	1264
56	75	1245
57	75	1226
58	75	1208
59	76	1191
60	76	1174
61	76	1158
62	76	1142
63	77	1127
64	77	1112
65	77	1097
66	77	1083
67	77	1069
68	78	1055
69	78	1042
70	78	1032
71	79	1020
72	79	1008
73	79	997
74	79	985
75	80	975
76	80	965
77	80	956
78	81	946
79	81	935
80	81	925
81	81	916
82	81	905
83	82	896
84	82	887
85	82	879
86	82	870
87	83	862
88	83	854
89	83	846
90	83	838
91	84	830
92	84	823
93	84	816
94	84	809
95	85	802
96	85	795
97	85	788
98	85	781
99	86	775
100	86	768
101	86	763
102	86	757
103	87	751
104	87	745
105	87	739
106	87	734
107	88	729
108	88	724
109	88	719
110	89	714
111	89	709
112	89	704
113	89	699
114	90	694
115	91	694
116	91	688
117	91	684
118	91	679
119	92	675
120	92	670
121	92	666
122	92	662
123	93	657
124	93	653
125	93	649
126	93	645
127	94	641
128	94	637
129	94	633
130	94	629
131	95	625
132	95	622
133	95	618
134	95	614
135	96	611
136	96	607
137	96	603
138	96	600
139	97	596
140	97	593
141	97	589
142	97	586
143	98	583
144	98	580
145	98	577
146	98	574
147	99	571
148	99	568
149	99	565
150	100	562
151	100	559
152	100	557
153	100	554
154	101	551
155	101	548
156	101	546
157	101	543
158	102	540
159	102	538
160	102	535
161	102	532
162	103	529
163	103	527
164	103	524
165	103	522
166	104	520
167	104	518
168	104	516
169	105	513
170	105	511
171	105	508
172	106	506
173	106	504
174	106	502
175	106	500
176	107	497
177	107	495
178	107	493
179	107	491
180	108	489
181	108	486
182	108	484
183	108	482
184	109	480
185	109	478
186	109	476
187	109	474
188	110	472
189	110	470
190	110	467
191	110	466
192	111	464
193	111	462
194	111	460
195	111	458
196	111	456
197	112	454
198	112	452
199	112	450
200	112	448
201	113	447
202	113	446
203	113	444
204	114	443
